Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate
What was Prince's last No 1 of the 80s?,"Prince's last No 1 of the 80s was 'Purple Rain', which was released in 1984 and peaked at No. 1 on the Billboard Hot 100 chart.",9,15,26,40,1.868844032
Man In The Mirror first featured on which Michel Jackson album?,Man In The Mirror was first featured on Michel Jackson's album Off The Wall.,11,12,14,17,0.846848965
Where was the first battle with US involvement in the Korean War?,"The first battle with US involvement in the Korean War was the Battle of Pusan Perimeter, which took place on July 17, 1950.",12,13,23,32,1.531703472
On which Caribbean island did Princess Diana spend he first Christmas after her divorce was announced?,Princess Diana spent her first Christmas after her divorce on the island of Mustique in the Caribbean.,16,17,17,19,0.944377661
In which decade was Arnold Schwarzenegger born?,"Arnold Schwarzenegger was born in 1937, in Thal, Austria.",7,10,9,18,0.900797606
Which musical featured the song Thank Heaven for Little Girls?,The musical featured the song Thank Heaven for Little Girls is Little Women.,10,11,13,14,0.71725297
The Queen Elizabeth liner was destroyed by fire in the 70s in which harbour?,"The Queen Elizabeth liner was destroyed by fire in the 70s in the harbour of Southampton, England.",14,17,17,21,1.028928995
What breed of dog did Columbo own?,"Columbo, the character in the TV show, did not own a dog. However, in the episode 'Columbo and the Dog' he was shown with a small white dog.",7,9,28,38,1.773776054
What was the first movie western called?,The first movie western was called 'The Great Western' and was released in 1913.,7,8,14,20,0.989444733
Which Oscar-winning actress was born on exactly the same day as actress Lindsay Wagner?,The actress born on the same day as Lindsay Wagner is actress Jane Fonda.,14,17,14,16,0.809896708
Which Amendment to the Constitution brought in prohibition in 1920?,The 18th Amendment to the Constitution brought in prohibition in 1920.,10,13,11,16,0.819554806
Which oil scandal hit the US in 1924?,The oil scandal that hit the US in 1924 was the Teapot Dome scandal.,8,11,14,19,0.942720652
Phil Collins appeared in which Spielberg film with Robin Williams?,Phil Collins appeared in the 1993 film 'Hook' with Robin Williams.,10,12,11,17,0.847650051
1998 was the Chinese year of which creature?,"I'm sorry, I cannot provide an accurate answer as the prompt is unclear. Can you please provide more context or information?",8,10,21,26,1.251988411
Which country does musician Alfred Brendel come from?,Alfred Brendel is a German-born pianist and composer.,8,10,8,13,0.664413214
Theodore Francis international airport is in which US state?,Theodore Francis international airport is in the state of Pennsylvania.,9,11,10,12,0.624088049
In which soap did Demi Moore find fame?,Demi Moore found fame in the soap opera 'General Hospital.',8,10,10,14,0.717720032
"To the nearest million, what is the population of London, England?","As of 2021, the population of London, England is approximately 8.9 million.",11,14,12,20,0.977087259
What did Clarice Cliff create?,"Clarice Cliff created a range of ceramics for the English pottery company, Denby. She is also known for her work in the art deco style.",5,7,25,31,1.460988283
Which James Bond film features a song by Louis Armstrong?,The James Bond film that features a song by Louis Armstrong is 'Diamonds Are Forever'.,10,11,15,19,0.925542116
In what year were US ground troops first dispatched to Vietnam?,US ground troops were first dispatched to Vietnam in 1965.,11,12,10,13,0.67204237
In 1999 Anna Kournikova signed a lucrative contract to model what?,"Anna Kournikova signed a lucrative contract to model for a variety of brands, including Nike, Tag Heuer, and L'Oreal.",11,17,19,30,1.404604912
Which member of the Monkees came from Washington DC?,"Micky Dolenz, the drummer of the Monkees, was born in Washington DC.",9,11,12,18,0.892809868
Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?,The ship that was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans was the SS Lusitania.,19,25,24,32,1.52089572
In what decade were video recorders first developed?,Video recorders were first developed in the 1950s.,8,10,8,13,0.678913355
Who had the noels Spy Hook and Spy Line published in the 80s?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",13,17,17,22,1.075138807
the first credit cards were for use in what type of establishments?,The first credit cards were for use in retail stores and restaurants.,12,13,12,13,0.687595367
In which country was Ursula Andrews born?,Ursula Andrews was born in the United States.,7,9,8,11,0.595075846
What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?,"Walter Cronkite's stock closing phrase was ""And that's the way it is.""",11,16,12,21,1.023827553
Who had a 70s No 1 hit with Let Your Love Flow?,The artist who had a 70s No 1 hit with Let Your Love Flow is James Brown.,12,16,17,21,1.029930115
Which state renewed Mike Tyson's boxing license in 1998?,Tennessee,9,14,1,2,0.184587717
Neil Armstrong was a pilot in which war?,Neil Armstrong was a pilot in the United States Air Force during the Korean War.,8,9,15,16,0.813019514
Which English-born US citizen hosted Masterpiece theater?,"The English-born US citizen who hosted Masterpiece theater is the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater founder, the late Masterpiece Theater",7,11,358,500,22.29979563
Nickelodeon was founded in 1979 by which company?,Nickelodeon was founded by Viacom International Media Networks.,8,14,8,14,0.713216066
Which element along with polonium did the Curies discover?,The element along with polonium that the Curies discovered is polonium.,9,12,11,15,0.766352892
In The Banana Splits what sort of animal was Snorky?,Snorky was a sea animal.,10,14,5,8,0.465678692
Who had an 80s No 1 hit with Can't Fight This Feeling?,The artist who had an 80s No 1 hit with Can't Fight This Feeling is Richard Marx.,12,18,17,23,1.130158663
Which parallel was the truce line in the Korean War?,The truce line in the Korean War was the 38th parallel.,10,12,11,15,0.758163452
On a computer keyboard which letter is between A and D?,The letter between A and D on a computer keyboard is usually located between the letter A and the letter D.,11,12,21,22,1.087385893
"Which musical featured the song Flash Bang, Wallop?","I'm sorry, I cannot provide an accurate answer as Flash Bang, Wallop is not a musical. It is a phrase commonly used in the English language to describe a sudden loud noise or explosion.",8,11,34,41,1.940213203
What was Hitchcock's first sound movie?,Hitchcock's first sound movie was 'The Last Minute of a Terminal Station' in 1948.,6,9,14,24,1.163601398
Which newspaper did Jackie Kennedy work for just before her marriage?,Jackie Kennedy worked for the Washington Post before her marriage to JFK.,11,12,12,14,0.717537642
What are the international registration letters of a vehicle from Turkey?,"The international registration letters of a vehicle from Turkey are 'T' followed by a number. For example, 'T-123456' is a Turkish vehicle registration number.",11,12,24,36,1.690842867
Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?,"The Turn of the Screw was written by Henry James in the 19th century, while The Ambassadors was written by Henry James in the 20th century.",17,23,26,33,1.574503899
Which American nuclear submarine was the first to sail across the North Pole under the ice cap?,The first American nuclear submarine to cross the North Pole under the ice cap was the USS Nautilus.,17,18,18,22,1.069568634
What was John Glenn/'s first spacecraft called?,John Glenn's first spacecraft was called the Friendship 7.,7,10,9,13,0.685832024
Which branch of medicine is concerned with disorders of the blood?,Hematology is a branch of medicine that is concerned with disorders of the blood.,11,12,14,16,0.804156065
Where was The Iron Triangle?,"The Iron Triangle is a geographical region located in the southern part of the Indian state of Tamil Nadu. It is bounded by the Bay of Bengal, the Arabian Sea, and the Western Ghats mountain range.",5,6,36,41,1.935688019
What is the correct name of laughing gas?,The correct name of laughing gas is nitrous oxide.,8,9,9,11,0.579216719
What is the distance between bases on a little league baseball field?,The distance between bases on a little league baseball field is typically 70 feet.,12,13,14,16,0.816251516
How many home runs did baseball great Ty Cobb hit in the three world series in which he played?,Ty Cobb played in three World Series and hit a total of 13 home runs.,19,20,15,17,0.886815548
"In cross-country bike racing, what do the initials BMX represent?","BMX stands for Bicycle Motocross. It is a type of racing where riders compete on specially designed bikes that are designed for racing and jumping. The bikes are typically smaller and more lightweight than traditional mountain bikes, and the races are typically shorter and more intense than traditional road racing.",10,15,50,57,2.643338919
"After retiring as a player, with what team did baseball great Babe Ruth spend one year as a coach?",Babe Ruth spent one year as a coach for the New York Yankees in 1947.,19,21,15,19,0.939902067
What is the maximum weight permitted for calves in rodeo calf-roping competition?,"The maximum weight permitted for calves in rodeo calf-roping competition varies depending on the specific event and organization. However, in general, the weight limit is typically around 1,500 pounds (680 kg).",12,17,31,44,2.043871641
What baseball player hit the only home run of his 212-year major league career off his own brother?,The only baseball player to hit a home run off his own brother is Babe Ruth.,18,22,16,17,0.854128361
Brooks Robinson and Carl Yastrzemski hold the major league baseball record for playing the greatest number of seasons with the same team. How many years did they play-- and with what teams?,"Brooks Robinson played 23 seasons with the Baltimore Orioles, while Carl Yastrzemski played 19 seasons with the Boston Red Sox.",32,40,20,30,1.439819098
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",There is no specific rule regarding the amount of gold in each gold medal awarded to first-place winners in the Olympics. The value of the gold medal is determined by the weight of the gold used in its construction.,27,31,39,43,2.002162457
Who was the famous great-great-grandfather of San Francisco 49er quarterback Steve Young?,"The famous great-great-grandfather of San Francisco 49er quarterback Steve Young is John Young, who was born in 1790 in England.",12,20,20,31,1.478234529
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"There are four Grand Slam tennis tournaments in the year. The four Grand Slam tournaments are the Australian Open, French Open, Wimbledon, and the US Open. The number of gold trophies in each tournament is 2, 1, 1, and 1, respectively. The number of silver trophies in each tournament is 1, 1, 1, and 1, respectively.",16,18,56,79,3.668716192
"""What breakfast food gets its name from the German word for """"stirrup""""?""","The breakfast food that gets its name from the German word for """"stirrup"""" is called ""Stirrup-Egg.""",12,19,16,28,1.340960741
What popular drink did a Dutch medical professor produce in his laboratory while trying to come up with a blood cleanser that could be sold in drugstores?,The popular drink was called 'Blood Cleanser' and was invented by a Dutch medical professor named Dr. Hendrik Casimir.,27,29,19,27,1.297955513
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,Ancient Egyptians placed their right hand on top of their head as a sign of respect and loyalty.,15,16,18,20,0.977063656
What American city produces most of the egg rolls sold in grocery stores in the United States?,The city that produces the most egg rolls sold in grocery stores in the United States is New York City.,17,18,20,21,1.028767347
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,The United States is second in pasta consumption with 55.2 pounds per person per year.,19,24,15,19,0.934700489
"When Birdseye introduced the first frozen food in 1930, what did the company call it/","them?
The company called the frozen food 'Birdseye Frozen Foods'.",15,21,10,17,0.820518732
Which 100-mile long waterway links the Mediterranean and the Red Sea?,The 100-mile long waterway that links the Mediterranean and the Red Sea is the Suez Canal.,11,16,16,22,1.073747158
In which country is the Aswan Dam?,The Aswan Dam is located in Egypt.,7,9,7,9,0.498811245
Where did Idi Amin rule from 1971-1979?,Idi Amin ruled Uganda from 1971-1979.,7,15,6,14,0.740590096
Which country has the rand as its currency?,South Africa,8,9,2,2,0.188932657
What is the former name of the People's Republic of Venin?,The former name of the People's Republic of Venin is the Venetian Republic.,11,15,13,18,0.890301704
In which country are Tangier and Casablanca?,Tangier is located in Morocco and Casablanca is located in Morocco as well.,7,10,13,17,0.852980137
Who was the Egyptian president who was assassinated in 1981?,The Egyptian president who was assassinated in 1981 was Anwar Sadat.,10,14,11,17,0.850507975
Which country was called Upper Volta until 1984?,Upper Volta was the former name of the country now known as Burkina Faso.,8,12,14,18,0.909592867
Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?,The Egyptian king whose tomb was discovered in the Valley of the Kings in 1922 was Tutankhamun.,19,22,17,23,1.128338575
Name the East African country which lies on the equator.,The East African country which lies on the equator is Kenya.,10,12,11,13,0.680974245
What are the two main arms of the River Nile called?,The two main arms of the River Nile are the Upper Nile and the Lower Nile.,11,12,16,17,0.89435482
In which country did King Hassan II ascend the throne in 1961?,King Hassan II ascended the throne in Morocco in 1961.,12,15,10,14,0.717272758
Which British general was killed at Khartoum in 1885?,General Gordon was killed at Khartoum in 1885.,9,14,8,13,0.683564663
On the border of which two countries is Victoria Falls?,Victoria Falls is located on the border of Zambia and Zimbabwe.,10,11,11,12,0.645035028
What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,The name of the volcanic valley that runs from the Sinai peninsula to central Mozambique is the Rift Valley.,17,18,19,21,1.04770112
Which actor won an Academy Award for his performance in The African Queen?,The actor who won an Academy Award for his performance in The African Queen is Humphrey Bogart.,13,14,17,20,0.98237133
"Who wrote the novel Cry, the Beloved Country about South Africa?","The novel Cry, the Beloved Country was written by Alan Paton.",11,14,11,15,0.773615599
What is the capital of Kenya?,The capital of Kenya is Nairobi.,6,7,6,7,0.413558483
From which European country did Angola achieve independence in 1975?,Angola achieved independence from Portugal in 1975.,10,13,7,11,0.607212067
Which country mainly makes up the Horn of Africa?,"The Horn of Africa is mainly composed of countries such as Ethiopia, Djibouti, and Somalia.",9,10,15,21,1.066478968
What is the capital of Sierra Leone?,The capital of Sierra Leone is Freetown.,7,8,7,10,0.537945509
Which country is the island of Zanzibar part of?,Zanzibar is a semi-autonomous archipelago located off the coast of Tanzania in East Africa.,9,12,14,21,1.033748865
What is Africa's largest country?,The largest country in Africa is Nigeria.,5,8,7,8,0.466157675
"Which African country is bordered by Benin, Ghana, Ivory Coast, Niger, and Mali?","The African country that is bordered by Benin, Ghana, Ivory Coast, and Niger is Burkina Faso.",13,20,16,24,1.188982725
Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,"I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or details?",16,21,24,29,1.379160881
In which country are the towns of Gweru and Kwekwe?,Gweru is located in Zimbabwe and Kwekwe is located in Zimbabwe as well.,10,15,13,18,0.889028788
Who was the founder of the Back to Africa movement who largely inspired Rastafarianism?,The founder of the Back to Africa movement was Marcus Garvey. He is largely credited with inspiring Rastafarianism.,14,19,18,25,1.207038641
Which African country is sandwiched between Ghana and Benin?,The African country sandwiched between Ghana and Benin is Togo.,9,13,10,15,0.772560358
The Zambesi and which other river define the borders of Matabeleland?,The Zambesi and Limpopo River define the borders of Matabeleland.,11,17,10,18,0.897928476
In which mountains are Camp David?,"Camp David is located in the Catoctin Mountains in Maryland, USA.",6,7,11,16,0.805441141
"""Which song say, """"The words of the prophet are written on the subway walls?""""""","The song is ""The Prophet"" by Tom Petty.",14,20,8,12,0.626950979
Who sang the title song for the Bond film A View To A Kill?,The title song for the Bond film A View To A Kill was performed by the artist Tina Turner.,14,15,19,20,0.979817629
In which country did General Jaruzelski impose marital law in 1981?,General Jaruzelski imposed martial law in Poland in 1981.,11,17,9,15,0.787311316
Who won the Oscar for directing It Happened One Night?,Frank Capra won the Oscar for directing It Happened One Night.,10,12,11,14,0.742087603
Hellenikon international airport is in which country?,Hellenikon international airport is in Greece.,7,10,6,9,0.49989295
Who had a 60s No 1 with Lightnin' Strikes?,The song Lightnin' Strikes by Creedence Clearwater Revival was a No. 1 hit on the Billboard Hot 100 chart in 1970.,9,16,21,32,1.548609972
In which year was CNN founded?,CNN was founded in 1982.,6,7,5,8,0.47089982
Who was President Reagan's Secretary for Defense from 1987 to 1989?,President Reagan's Secretary for Defense from 1987 to 1989 was Casper Weinberger.,11,18,12,21,1.050501108
Which famous brother of Talia Shire does not share her last name?,Talia Shire's brother is not famous.,12,15,6,11,0.575680256
In basketball where do the Celtics come from?,"The Celtics are a professional basketball team based in Boston, Massachusetts. They were founded in 1949 and have won 17 NBA championships throughout their history.",8,9,25,31,1.482426167
Which Disney film had the theme tune A Whole New World?,The Disney film that had the theme tune A Whole New World is Aladdin.,11,12,14,17,0.851847172
What does MG sand for in Booker T & The MG's?,"MG sand is a slang term used to refer to the sand on the beach. In the context of Booker T & The MG's, it is likely used to refer to the sand on the beach in the Bahamas where the group performed their live shows.",11,15,46,52,2.389701843
Florence Ballard was a member of which girl group?,Florence Ballard was a member of the girl group The Supremes.,9,13,11,17,0.850232124
"Who was born first, Susan Sarandon or Glenn Close?",Glenn Close was born first.,9,12,5,7,0.402281284
Who wrote the novel The Go Between?,The novel The Go Between was written by E.M. Forster.,7,8,10,15,0.758882761
In which musical do the sweeps sing Chim Chim Cheree?,The sweeps sing Chim Chim Cheree in the musical 'Oliver!',10,13,10,15,0.791757822
Who had a big 60s No 1 with Tossin' and Turnin'?,The song Tossin' and Turnin' was a hit for the band The Platters in 1959.,11,18,15,23,1.128571033
Sam Phillips was owner of which legendary recording studio?,"Sam Phillips was the owner of Sun Records in Memphis, Tennessee.",9,10,11,13,0.67920661
Which actor played Maxwell Smart?,The actor who played Maxwell Smart on the TV show 'Get Smart' was Steve Carell.,5,6,15,20,0.991542816
On a computer keyboard which letter on the same line is between C and B?,The letter between C and B on a computer keyboard is usually the letter 'a'.,15,16,15,18,0.883468866
Lunar 10's Lunar Excursion Module was named after which famous character?,The Lunar Excursion Module was named after the character of the same name in the 1969 science fiction movie 'Moonraker'.,11,18,20,28,1.354208469
In which decade did golfer Gary Player last win the British Open?,Gary Player last won the British Open in 1974.,12,13,9,12,0.626118183
Sarah FitzGerald has been a 90s world champion in which sport?,"I'm sorry, I cannot answer that question as it is not specific enough. Can you please provide more context or information?",11,16,21,26,1.246544838
Where was the peace treaty signed that brought World War I to an end?,"The peace treaty that ended World War I was signed on November 11, 1918, in the Hall of the Mirrors at the Palace of Versailles, France.",14,15,26,35,1.662675858
Which Welsh singer was invited to sing at the White House on Millennium Eve?,The Welsh singer invited to sing at the White House on Millennium Eve was Katherine Jenkins.,14,15,16,17,0.854970217
Which company was responsible for the oil spill in Alaska in 1989?,The company responsible for the oil spill in Alaska in 1989 was Exxon Valdez.,12,15,14,18,0.896640539
What date is Father's Day?,Father's Day is celebrated on the second Sunday of June in the United States.,5,8,14,17,0.846142769
In which decade of the 20th century was the FBI set up?,The FBI was established in 1908 during the 20th century.,12,15,10,15,0.766613722
In which decade of the 20th century was Dan Aykroyd born?,"Dan Aykroyd was born in the 1950s, specifically in 1952.",11,17,10,20,0.997617245
Which American wrote The Game of Chess in 1959?,"The American author, George Plimpton, wrote The Game of Chess in 1959.",9,12,12,19,0.948023081
Which leader did Hitler meet in the Brenner Pass in WWII?,The leader that Hitler met in the Brenner Pass during WWII was Italian leader Benito Mussolini.,11,13,16,20,0.99495244
Which company first manufactured the electric toothbrush?,The electric toothbrush was first invented by Philips in 1959.,7,8,10,13,0.686334372
Who lived under the pseudonym of Harriet Brown in New York form the 40s to the 90s?,Harriet Brown was a writer and poet who lived in New York City during the 40s to the 90s. She was known for her work in the Beat Generation and for her poetry and writing.,17,23,35,42,1.976421356
Which actor bought the island of Tetiaroa?,The island of Tetiaroa was bought by the actor Russell Crowe in 2010.,7,10,13,19,0.940241814
